Genus,Family,Order,HybProp,Hyb_Ratio,perc_per,perc_wood,perc_ag,floral_symm,mating_system,repro_syndrome,pollination_syndrome,RedList,tavg,C_value,CV_C_value,perc_per_text,perc_wood_text,perc_ag_text,floral_symm_text,mating_system_text,repro_syndrome_text,pollination_syndrome_text,redlist_text,tavg_text,cvalue_text,cv_cvalue_text,image_url
Abies,Pinaceae,Pinophyta,0.362318841,0.041666667,1,1,0.004761905,.,1,1,0,0.695652174,0.8674,17.23266667,9.085723529,About 100% of species are perennial,About 100% of species are woody,About 0% of species are agricultural,radial,selfing,reproduction syndrome 1,wind-pollinated,low extinction risk,warm climates,large genome,moderate variation,https://upload.wikimedia.org/wikipedia/commons/7/71/Abies_koreana_%28szyszki%29.JPG
Abronia,Nyctaginaceae,Caryophyllales,4.166666667,0.3125,0.6875,0,0.005063291,.,.,.,.,.,.,.,.,About 69% of species are perennial,About 0% of species are woody,About 1% of species are agricultural,radial symmetry,mixed mating system,asexual reproduction,wind-pollinated,low extinction risk,temperate climates,small genome,low variation,No image found
Abutilon,Malvaceae,Malvales,0,0,0.763157895,0.394736842,0.006153846,0,1,1,1,3.5,0.057,1.245,0,About 76% of species are perennial,About 39% of species are woody,About 1% of species are agamic,radial,mixed mating system,inflorescence,insect-pollinated,high risk,cold climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/4/4f/Abutilon_theophrasti_2015-08-29_5732.JPG
Acacia,Fabaceae,Fabales,0.208188758,0.136363636,1,1,0.096494845,0,.,.,1,1.5,0.807875,1.186321839,31.78010935,About 100% of species are perennial,About 100% of species are woody,About 10% of species are agamospermous,radial,mixed mating system,dioecious reproductive syndrome,insect-pollinated,moderate risk,warm climates,small genome,high variation,https://upload.wikimedia.org/wikipedia/commons/2/2c/Acacia_baileyana_3%2C_Canberra_ACT.JPG
Acaena,Rosaceae,Rosales,8.888888889,0.4,1,0,0.001060071,.,.,0.5,.,.,.,0.33,.,About 100% of species are perennial,About 0% of species are woody,About 0% of species are agriculturally significant,radial symmetry,mixed mating system,seed dispersal by animals,insect-pollinated,low extinction risk,cold climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/5/55/Acaena_novae-zelandiae1.jpg
Acalypha,Euphorbiaceae,Malpighiales,0,0,0,0,0.01239531,0.2,.,.,0,2.772727273,.,.,.,About 0% of species are perennial,About 0% of species are woody,About 1% of species are agricultural,radial,mixed mating system,likely self-pollinating,wind-pollinated,moderate risk,temperate climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/7/7b/Acalypha_Hispida_DS.jpg
Acamptopappus,Asteraceae,Asterales,0,0,1,1,0.00210989,.,.,.,.,.,.,.,.,About 100% of species are perennial,About 100% of species are woody,About 0% of species are agricultural,radial symmetry,self-incompatible,seed-dispersed by wind,wind-pollinated,low extinction risk,cold climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/0/08/Acamptopappus_shockleyi_7.jpg
Acanthomintha,Lamiaceae,Lamiales,0,0,0,0,0.004320557,.,.,.,.,.,.,.,.,About 0% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial symmetry,mixed mating system,reproduces sexually,wind-pollinated,low extinction risk,cold climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/5/54/Acanthominthailicifolia1.jpg
Acanthopanax,Araliaceae,Apiales,0,0,1,1,0,.,.,.,.,.,.,.,.,About 100% of species are perennial,About 100% of species are woody,About 0% of species are cultivated,radial symmetry,selfing,autotrophic,insect-pollinated,low extinction risk,cold climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/a/ae/Eleutherococcus_gracilistylus_BotGardBln1105_LeavesFallFruits.JPG
Acanthospermum,Asteraceae,Asterales,0,0,0,0,0.00210989,0,.,.,1,.,.,.,.,About 0% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial,selfing,herbaceous annual,wind-pollinated,low extinction risk,cold climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/7/78/Starr_050517-1547_Acanthospermum_australe.jpg
Acanthus,Acanthaceae,Lamiales,0,0,1,0,0.000857143,1,.,.,.,.,.,.,.,About 100% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial,Unknown mating system,Unknown reproductive syndrome,Unknown pollination syndrome,low extinction risk,cold climates,small genome,low variation,No image found
Acer,Sapindaceae,Sapindales,0.185013876,0.042553191,1,1,0.001265823,.,1,0.916666667,0.833333333,2.166666667,0.945,0.908181818,26.43476679,About 100% of species are perennial,About 100% of species are woody,About 0% of species are cultivated,radial,selfing,obligate xenogamy,insect-pollinated,moderate risk,warm climates,small genome,high variation,No image found
Achillea,Asteraceae,Asterales,0.790960452,0.233333333,1,0,0.00210989,0,1,0.5,1,.,.,4.137692308,51.15042164,About 100% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial,selfing,requires animal assistance,insect-pollinated,low extinction risk,temperate climates,medium genome,high variation,https://upload.wikimedia.org/wikipedia/commons/f/fb/Achillea_millefolium.jpg
Achlys,Berberidaceae,Ranunculales,0,0,1,0,0,.,.,.,.,.,.,.,.,About 1% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,symmetry not specified,mating system not specified,reproductive syndrome not specified,pollination syndrome not specified,low extinction risk,temperate climates,small genome,low variation,No image found
Achnatherum,Poaceae,Poales,2.857142857,0.2,1,0,0.074314214,.,.,.,.,.,.,.,.,About 1% of species are perennial,About 0% of species are woody,About 7% of species are agriculturally important,radial symmetry,selfing,seed-propagated,wind-pollinated,low extinction risk,cold climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/9/9c/Achnatherum_parishii.jpg
Achyranthes,Amaranthaceae,Caryophyllales,0,0,0.916666667,0.5,0.041463415,0,.,.,.,3.25,.,.,.,About 91.67% of species are perennial,About 50% of species are woody,About 4.15% of species are agricultural,radial,Unknown mating system,Unknown reproductive syndrome,Unknown pollination syndrome,high risk,Temperate climates,Medium genome,Moderate variation,https://upload.wikimedia.org/wikipedia/commons/2/2c/A_splendens.jpg
Acianthus,Orchidaceae,Asparagales,0,0,1,0,0,.,.,.,.,.,.,.,.,About 100% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial symmetry,selfing,seed reproduction,insect-pollinated,low extinction risk,cold climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/8/80/Acianthus_exsertus_%2824997834335%29.jpg
Acinos,Lamiaceae,Lamiales,60,1.2,0.8,0,0.004320557,.,1,1,1,.,.,.,.,About 80% of species are perennial,About 0% of species are woody,About 0% of species are agricultural,radial symmetry,selfing,self-pollination,insect-pollinated,low extinction risk,temperate climates,small genome,low variation,https://upload.wikimedia.org/wikipedia/commons/0/0c/Clinopodium_vulgare01.jpg
